Customer_ID,Customer_Name,Contact,Business_Type,Location,Total_Purchases,Loyalty_Level
C2000,Priya Sharma,9219218121,Mechanic,Tamil Nadu,833819,Silver
C2001,Neha Patil,9759397006,Retailer,Uttar Pradesh,1347526,Gold
C2002,Sanjay Reddy,9676085193,Mechanic,West Bengal,718221,Platinum
C2003,Priya Nair,9984576708,Mechanic,Uttar Pradesh,336362,Silver
C2004,Priya Ghosh,9539006712,Retailer,Maharashtra,772716,Gold
C2005,Kiran Sharma,9909916339,Retailer,Uttar Pradesh,702737,Gold
C2006,Raj Verma,9522468470,Mechanic,Tamil Nadu,1107208,Platinum
C2007,Sanjay Patil,9187039633,Wholesaler,Uttar Pradesh,1128460,Silver
C2008,Arun Ghosh,,Mechanic,Gujarat,1670252,
C2009,Raj Nair,9251645704,Mechanic,Karnataka,1926071,Gold
C2010,Sanjay Nair,9723114568,Mechanic,Maharashtra,288024,Silver
C2011,Kiran Patil,9423352791,Mechanic,Tamil Nadu,1229958,Gold
C2012,Anjali Ghosh,9123019201,Retailer,Maharashtra,1919683,Gold
C2013,Neha Sharma,9529728877,Mechanic,West Bengal,584187,Silver
C2014,Amit Mehta,9355784736,Wholesaler,Uttar Pradesh,428523,Platinum
C2015,Vikram Chopra,9491195990,Retailer,Karnataka,1204212,Gold
C2016,Amit Patil,9607400000,Wholesaler,Gujarat,1627366,Silver
C2017,Vikram Verma,9295944386,Wholesaler,Maharashtra,1601180,Platinum
C2018,Priya Mehta,9383906650,Wholesaler,Karnataka,1411887,Platinum
C2019,Priya Agarwal,9601551864,Wholesaler,Uttar Pradesh,1024299,Gold
C2020,Vikram Ghosh,9532670429,Retailer,Tamil Nadu,964489,Silver
C2021,Neha Sharma,9318928839,Retailer,Gujarat,384542,Platinum
C2022,Anjali Nair,9743620521,Wholesaler,Gujarat,840487,Silver
C2023,Priya Mehta,9691344488,Wholesaler,Delhi,1060260,Platinum
C2024,Priya Nair,9473919956,Retailer,Maharashtra,1247892,Silver
C2025,Neha Ghosh,9610885956,Retailer,Karnataka,1110452,Silver
C2026,Vikram Ghosh,9921926682,Retailer,Maharashtra,1086067,Silver
C2027,Sanjay Verma,9258294672,Mechanic,Tamil Nadu,1204298,Gold
C2028,Raj Patil,9967584245,Mechanic,Tamil Nadu,1781743,Platinum
C2029,Neha Verma,9525995235,Mechanic,Uttar Pradesh,435210,Platinum
C2030,Sanjay Verma,9809228241,Wholesaler,Gujarat,511695,Gold
C2031,Kiran Chopra,9851221458,Mechanic,Gujarat,324363,Platinum
C2032,Anjali Agarwal,9661993048,Wholesaler,Karnataka,1730982,Platinum
C2033,Amit Agarwal,9446605766,Wholesaler,West Bengal,1019167,Gold
C2034,Vikram Patil,9137066047,Mechanic,Maharashtra,1882433,Gold
C2035,Neha Verma,9112074503,Wholesaler,Maharashtra,470169,Gold
C2036,Divya Reddy,9599370079,Mechanic,Tamil Nadu,1547436,Silver
C2037,Arun Patil,9250185658,Mechanic,Maharashtra,728387,Gold
C2038,Amit Bose,9693517472,Retailer,Karnataka,1876458,Silver
C2039,Kiran Chopra,9826812728,Mechanic,Delhi,1247922,Platinum
C2040,Arun Patil,,Retailer,Gujarat,1455417,
C2041,Vikram Sharma,9421115159,Mechanic,Tamil Nadu,884540,Gold
C2042,Sanjay Sharma,9343332844,Mechanic,Gujarat,124007,Gold
C2043,Vikram Mehta,9645591901,Retailer,Gujarat,1918630,Gold
C2044,Neha Verma,9796145521,Retailer,Gujarat,1981074,Platinum
C2045,Sanjay Ghosh,9864557502,Mechanic,Delhi,1300467,Silver
C2046,Vikram Patil,9845778189,Wholesaler,Maharashtra,603964,Platinum
C2047,Anjali Mehta,9481080750,Retailer,West Bengal,328925,Silver
C2048,Anjali Reddy,9663360905,Wholesaler,Gujarat,917395,Platinum
C2049,Neha Reddy,9931912895,Wholesaler,Karnataka,996603,Platinum
C2050,Sanjay Nair,9950489632,Wholesaler,Gujarat,1102079,Platinum
C2051,Arun Chopra,9108899780,Retailer,Gujarat,1393337,Gold
C2052,Divya Mehta,9129008562,Wholesaler,Maharashtra,726214,Gold
C2053,Divya Mehta,9721634675,Retailer,Uttar Pradesh,1438319,Silver
C2054,Vikram Patil,9767776944,Wholesaler,Karnataka,991047,Platinum
C2055,Amit Nair,9971657823,Mechanic,Maharashtra,1937955,Gold
C2056,Anjali Verma,9732221451,Mechanic,Gujarat,83399,Platinum
C2057,Raj Verma,9648639121,Retailer,Uttar Pradesh,131808,Platinum
C2058,Amit Reddy,9560350951,Mechanic,Maharashtra,692012,Silver
C2059,Kiran Ghosh,9565670860,Mechanic,Maharashtra,1111560,Silver
C2060,Priya Mehta,9837405291,Wholesaler,Tamil Nadu,1685750,Platinum
C2061,Kiran Ghosh,9851626264,Retailer,Delhi,50927,Platinum
C2062,Anjali Nair,9710361529,Wholesaler,Uttar Pradesh,768787,Platinum
C2063,Neha Nair,9272922401,Wholesaler,West Bengal,1049127,Silver
C2064,Raj Verma,9941951594,Wholesaler,Uttar Pradesh,1944379,Silver
C2065,Arun Chopra,9848690416,Wholesaler,Delhi,1884985,Gold
C2066,Vikram Verma,9387489291,Wholesaler,Delhi,666065,Silver
C2067,Neha Mehta,9792426931,Wholesaler,Karnataka,156573,Platinum
C2068,Amit Bose,9956207725,Wholesaler,Tamil Nadu,1594679,Platinum
